method	K	silhouette
PhyloAE	6	0.42188472440275
PhyloAE	7	0.3840222033806245
PhyloAE	8	0.3695077165390595
PhyloAE	9	0.3757878454070884
PhyloAE	10	0.3684470548545289
PhyloAE	11	0.3582924610858355
PhyloAE	12	0.3651569251643934
PhyloAE	13	0.3513159999179411
PhyloAE	14	0.349652569978218
PhyloAE	15	0.3498617286224508
PhyloAE	16	0.354261290154439
PhyloAE	17	0.3656421626521042
PhyloAE	18	0.3536883339001321
PhyloAE	19	0.3543711479615054
PhyloAE	20	0.3618824354573855
PhyloAE	21	0.3663724721660951
PhyloAE	22	0.3659133278586245
PhyloAE	23	0.3591877891634679
PhyloAE	24	0.3691132779952841
PhyloAE	25	0.3629634650613907
PhyloAE	26	0.3649903429732377
PhyloAE	27	0.3807196102935602
PhyloAE	28	0.3876998614374914
PhyloAE	29	0.3756630992387976
PhyloAE	30	0.3828378998733449
PhyloAE	31	0.3856869622880717
PhyloAE	32	0.3849913473526509
PhyloAE	33	0.3825608360474489
PhyloAE	34	0.3894865096221631
PhyloAE	35	0.3929499290526154
PhyloAE	36	0.4022712726334407
PhyloAE	37	0.4046754728232742
PhyloAE	38	0.4007858383873194
PhyloAE	39	0.4241697265630799
PhyloAE	40	0.4282605116543168
PhyloAE	41	0.429189996430647
PhyloAE	42	0.4326770079784348
PhyloAE	43	0.433743232804482
PhyloAE	44	0.4357783264711675
PhyloAE	45	0.4288154964917945
PhyloAE	46	0.4410917362074349
PhyloAE	47	0.4319049339528525
PhyloAE	48	0.4460871004695669
PhyloAE	49	0.4544519652699025
PhyloAE	50	0.4445992763365938
