run_id,n_neighbors,min_dist,metric,n_components,seed,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
umap_cosine_nn5_md0p25_seed42_2d,5,0.25,cosine,2,42,0.8425575102258743,0.7527820749895551,0.5570680628272252,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p25_seed42_2d.csv
umap_cosine_nn5_md0p25_seed99_2d,5,0.25,cosine,2,99,0.8296145645137971,0.7723626306495719,0.5587135377711294,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p25_seed99_2d.csv
umap_cosine_nn5_md0p25_seed123_2d,5,0.25,cosine,2,123,0.8451846083847805,0.783495500613946,0.5644976315133383,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p25_seed123_2d.csv
umap_cosine_nn5_md0p25_seed256_2d,5,0.25,cosine,2,256,0.8417445252344485,0.7538660192165126,0.5695836449763151,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p25_seed256_2d.csv
umap_cosine_nn5_md0p25_seed7_3d,5,0.25,cosine,3,7,0.8582502759724304,0.7803373781137486,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p25_seed7_3d.csv
umap_cosine_nn5_md0p25_seed42_3d,5,0.25,cosine,3,42,0.8480865974733865,0.7806710606310321,0.5793567688855648,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p25_seed42_3d.csv
umap_cosine_nn5_md0p25_seed99_3d,5,0.25,cosine,3,99,0.854437625297555,0.7859315920123403,0.5806033408127649,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p25_seed99_3d.csv
umap_cosine_nn5_md0p25_seed123_3d,5,0.25,cosine,3,123,0.8643772244288632,0.7806482222992595,0.5696833707304912,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p25_seed123_3d.csv
umap_cosine_nn5_md0p25_seed256_3d,5,0.25,cosine,3,256,0.8463854916483475,0.7770425754351893,0.5736724008975318,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_cosine_nn5_md0p25_seed256_3d.csv
umap_correlation_nn5_md0p25_seed7_2d,5,0.25,correlation,2,7,0.8403064707518555,0.7685997015155497,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/umap_correlation_nn5_md0p25_seed7_2d.csv
