run_id,knn,decay,knn_dist,t,gamma,n_components,seed,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
phate_euclidean_knn5_decay1_seed123_3d_t5_g0,5,1,euclidean,5,0,3,123,0.5925582122526827,-0.2818133758406175,0.1668910496135627,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed123_3d_t5_g0.csv
phate_euclidean_knn5_decay1_seed256_3d_t5_g0,5,1,euclidean,5,0,3,256,0.5972519255456931,-0.27091786820940245,0.16110695587135376,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed256_3d_t5_g0.csv
phate_euclidean_knn5_decay1_seed7_2d_t5,5,1,euclidean,5,1,2,7,0.6214289319288244,-0.2871145607321336,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed7_2d_t5.csv
phate_euclidean_knn5_decay1_seed42_2d_t5,5,1,euclidean,5,1,2,42,0.6289946558683559,-0.2839555581736861,0.24243330840189478,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed42_2d_t5.csv
phate_euclidean_knn5_decay1_seed99_2d_t5,5,1,euclidean,5,1,2,99,0.6261341432825331,-0.29551339191356807,0.22956868611318873,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed99_2d_t5.csv
phate_euclidean_knn5_decay1_seed123_2d_t5,5,1,euclidean,5,1,2,123,0.6277700175354912,-0.28178003864902385,0.23959112440787833,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed123_2d_t5.csv
phate_euclidean_knn5_decay1_seed256_2d_t5,5,1,euclidean,5,1,2,256,0.6207386308655762,-0.28865089158666646,0.23984043879331834,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed256_2d_t5.csv
phate_euclidean_knn5_decay1_seed7_3d_t5,5,1,euclidean,5,1,3,7,0.6243763061019032,-0.21744052604616082,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed7_3d_t5.csv
phate_euclidean_knn5_decay1_seed42_3d_t5,5,1,euclidean,5,1,3,42,0.6192734819429218,-0.23326922096452188,0.2298678633757168,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed42_3d_t5.csv
phate_euclidean_knn5_decay1_seed99_3d_t5,5,1,euclidean,5,1,3,99,0.6207402626035632,-0.2372652911589122,0.23121416105709303,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed99_3d_t5.csv
phate_euclidean_knn5_decay1_seed123_3d_t5,5,1,euclidean,5,1,3,123,0.6247455722030778,-0.21443031205300386,0.23500373971578165,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed123_3d_t5.csv
phate_euclidean_knn5_decay1_seed256_3d_t5,5,1,euclidean,5,1,3,256,0.6265308074029297,-0.21256377257037923,0.22807279980054848,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_euclidean_knn5_decay1_seed256_3d_t5.csv
phate_cosine_knn5_decay1_seed7_2d_g0,5,1,cosine,auto,0,2,7,0.6027944461710509,-0.4033708372092646,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed7_2d_g0.csv
phate_cosine_knn5_decay1_seed42_2d_g0,5,1,cosine,auto,0,2,42,0.6055842248125114,-0.39367593522163774,0.09284467713787085,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed42_2d_g0.csv
phate_cosine_knn5_decay1_seed99_2d_g0,5,1,cosine,auto,0,2,99,0.6060521541408008,-0.39889470008187483,0.1006232859636001,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed99_2d_g0.csv
phate_cosine_knn5_decay1_seed123_2d_g0,5,1,cosine,auto,0,2,123,0.6126170534834381,-0.3863457990046309,0.10137122911992022,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed123_2d_g0.csv
phate_cosine_knn5_decay1_seed256_2d_g0,5,1,cosine,auto,0,2,256,0.5993906027829861,-0.4006440470495362,0.10122164048865619,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed256_2d_g0.csv
phate_cosine_knn5_decay1_seed7_3d_g0,5,1,cosine,auto,0,3,7,0.6294830767899692,-0.34828293616522854,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed7_3d_g0.csv
phate_cosine_knn5_decay1_seed42_3d_g0,5,1,cosine,auto,0,3,42,0.6109050567560215,-0.37462492426320665,0.11917227624033905,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed42_3d_g0.csv
phate_cosine_knn5_decay1_seed99_3d_g0,5,1,cosine,auto,0,3,99,0.6263140898298325,-0.3594998490337941,0.13866866118175017,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed99_3d_g0.csv
phate_cosine_knn5_decay1_seed123_3d_g0,5,1,cosine,auto,0,3,123,0.6178120898123767,-0.35861767209733,0.12380952380952381,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed123_3d_g0.csv
phate_cosine_knn5_decay1_seed256_3d_g0,5,1,cosine,auto,0,3,256,0.6220831450193854,-0.3607072283969874,0.13537771129394166,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed256_3d_g0.csv
phate_cosine_knn5_decay1_seed7_2d,5,1,cosine,auto,1,2,7,0.688737668519638,-0.11026051702263856,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed7_2d.csv
phate_cosine_knn5_decay1_seed42_2d,5,1,cosine,auto,1,2,42,0.6703679037896926,-0.16118698504305595,0.2617801047120419,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed42_2d.csv
phate_cosine_knn5_decay1_seed99_2d,5,1,cosine,auto,1,2,99,0.6738457445980934,-0.09290656239304876,0.2524557466965844,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed99_2d.csv
phate_cosine_knn5_decay1_seed123_2d,5,1,cosine,auto,1,2,123,0.6787576554126078,-0.14833023033883602,0.24886561954624783,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed123_2d.csv
phate_cosine_knn5_decay1_seed256_2d,5,1,cosine,auto,1,2,256,0.665986118083945,-0.19406509196385877,0.23654948890550984,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed256_2d.csv
phate_cosine_knn5_decay1_seed7_3d,5,1,cosine,auto,1,3,7,0.6720836952566136,-0.10216950307415357,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed7_3d.csv
phate_cosine_knn5_decay1_seed42_3d,5,1,cosine,auto,1,3,42,0.6581098326633721,-0.12961462955069428,0.25489902767389677,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed42_3d.csv
phate_cosine_knn5_decay1_seed99_3d,5,1,cosine,auto,1,3,99,0.6698994052504774,-0.06569416026892051,0.2553976564447769,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed99_3d.csv
phate_cosine_knn5_decay1_seed123_3d,5,1,cosine,auto,1,3,123,0.6697186997552773,-0.11960635720817642,0.243829468960359,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed123_3d.csv
phate_cosine_knn5_decay1_seed256_3d,5,1,cosine,auto,1,3,256,0.648520298251346,-0.16659205942222388,0.21730241834953876,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed256_3d.csv
phate_cosine_knn5_decay1_seed7_2d_t2_g0,5,1,cosine,2,0,2,7,0.5844912411720129,-0.4438516654127806,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed7_2d_t2_g0.csv
phate_cosine_knn5_decay1_seed42_2d_t2_g0,5,1,cosine,2,0,2,42,0.5936657449244411,-0.4231072098280313,0.07953128895537273,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed42_2d_t2_g0.csv
phate_cosine_knn5_decay1_seed99_2d_t2_g0,5,1,cosine,2,0,2,99,0.5921417775394682,-0.43162392728087795,0.07788581401146846,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/phate_cosine_knn5_decay1_seed99_2d_t2_g0.csv
