sample_idx	IID	FID	dominant_component_broad	q_max_broad	best_embedding_axis1	best_embedding_method	sample_order_rank
1192	RHOD_12H05	RHOD	2	0.618533	-1.2033263	PhyloAE	895
34	LVMD_24542	LVMD_Italy	2	0.618392	-0.33070952	PhyloAE	896
1210	RHOD_13E12	RHOD	2	0.618299	-1.1953956	PhyloAE	897
504	GREY_13678	GREY	2	0.617817	-0.7681852	PhyloAE	898
1080	NELK_28504	NELK	2	0.617712	0.37679195	PhyloAE	899
245	WHIP_09824	WHIP	2	0.6173	-0.80606246	PhyloAE	900
76	DANE_27184	DANE	2	0.616766	-0.88925827	PhyloAE	901
1030	IRIT_27164	IRIT	2	0.616037	-0.45899916	PhyloAE	902
1028	IRIT_27166	IRIT	2	0.615759	-0.46480036	PhyloAE	903
842	BoT_00LU62	BORT	2	0.613825	-1.4801899	PhyloAE	904
1027	IRIT_27165	IRIT	2	0.613798	-0.46499088	PhyloAE	905
769	YORK_08997	YORK	2	0.613235	-0.7583313	PhyloAE	906
1110	AUCD_25269	AUCD	2	0.612039	-0.7646764	PhyloAE	907
714	OES_005966	OES	2	0.611502	-0.98934764	PhyloAE	908
893	TYo_0GT396	YORK	2	0.610048	-0.76990765	PhyloAE	909
1194	RHOD_12B06	RHOD	2	0.609875	-1.1953726	PhyloAE	910
1229	AUCD_15C05	AUCD	2	0.609798	-0.7649813	PhyloAE	911
1102	KELP_09320	KELP	2	0.609782	-0.67307186	PhyloAE	912
1135	XOLO_Z1E01	XOLO	2	0.608545	0.7284785	PhyloAE	913
1100	AIRT_08387	AIRT	2	0.608479	-0.9084466	PhyloAE	914
712	OES_005954	OES	2	0.607523	-0.9890064	PhyloAE	915
1209	RHOD_13H11	RHOD	2	0.606898	-1.1988145	PhyloAE	916
1029	IRIT_27162	IRIT	2	0.606742	-0.46988103	PhyloAE	917
1101	AIRT_08388	AIRT	2	0.606715	-0.9186366	PhyloAE	918
1159	ICES_Z4E02	ICES	2	0.606505	0.5275851	PhyloAE	919
