method	K	silhouette
t-SNE	28	0.4944455468845149
t-SNE	29	0.5019735253440885
t-SNE	30	0.5023570954262844
t-SNE	31	0.5062402088483016
t-SNE	32	0.5141806494688731
t-SNE	33	0.512469707598348
t-SNE	34	0.511577003279928
t-SNE	35	0.5088879352180894
t-SNE	36	0.5173620678595806
t-SNE	37	0.5158147542474415
t-SNE	38	0.5366742641313952
t-SNE	39	0.5242981049361439
t-SNE	40	0.5329793858577858
t-SNE	41	0.5345683999116702
t-SNE	42	0.5219081695690817
t-SNE	43	0.5322787700888497
t-SNE	44	0.5372959302408683
t-SNE	45	0.5385822352368473
t-SNE	46	0.5497194056910547
t-SNE	47	0.5525267834628487
t-SNE	48	0.5489300530412556
t-SNE	49	0.5474811821602948
t-SNE	50	0.559587836380041
TriMAP	2	0.9984538044414771
TriMAP	3	0.5064818599902864
TriMAP	4	0.5722434231830499
TriMAP	5	0.45663806679109714
TriMAP	6	0.4758674458614718
TriMAP	7	0.47962153927698375
TriMAP	8	0.4639697807930362
TriMAP	9	0.4474294579531968
TriMAP	10	0.45356232861815077
TriMAP	11	0.43247646698878167
TriMAP	12	0.43725335722629094
TriMAP	13	0.4368552036484756
TriMAP	14	0.412653046420986
TriMAP	15	0.4271574989518909
TriMAP	16	0.43418383927990095
TriMAP	17	0.4400939796609135
TriMAP	18	0.4257752903279066
TriMAP	19	0.42183048187905137
TriMAP	20	0.43541550408775553
TriMAP	21	0.39749921097296687
TriMAP	22	0.4134653791895624
TriMAP	23	0.413260818772316
TriMAP	24	0.4263648191829422
TriMAP	25	0.4233212614661357
TriMAP	26	0.41484196161287384
TriMAP	27	0.4248434733893424
TriMAP	28	0.39211798394690023
TriMAP	29	0.4086211918175036
TriMAP	30	0.3812779885527053
TriMAP	31	0.3905423750195326
TriMAP	32	0.38299989068690066
TriMAP	33	0.38522577377505296
TriMAP	34	0.38568805413923396
TriMAP	35	0.389932372035168
TriMAP	36	0.3793364556081436
TriMAP	37	0.3819807434956069
TriMAP	38	0.3852000344639226
TriMAP	39	0.37607927371899863
TriMAP	40	0.3679111655922612
TriMAP	41	0.3904312070670868
TriMAP	42	0.3672720752886801
TriMAP	43	0.3750575896086893
TriMAP	44	0.3756770211986304
TriMAP	45	0.3725968297621595
TriMAP	46	0.36671769523243386
TriMAP	47	0.3908360062372335
TriMAP	48	0.3652712729944042
TriMAP	49	0.3878164678241624
TriMAP	50	0.38251400397468116
PHATE	2	0.5160077552675733
PHATE	3	0.44529134987316676
PHATE	4	0.46550504257538894
PHATE	5	0.4730414887255366
PHATE	6	0.49292686259422747
PHATE	7	0.516621187957664
PHATE	8	0.4867877026171755
PHATE	9	0.4702918522741894
PHATE	10	0.4826044702270027
PHATE	11	0.4713022596109026
PHATE	12	0.48097073212848546
PHATE	13	0.506721552383538
PHATE	14	0.5106526635269432
PHATE	15	0.5130429760053984
PHATE	16	0.5158657998234145
PHATE	17	0.5096690975376772
PHATE	18	0.5206634188369584
PHATE	19	0.5255007931282157
PHATE	20	0.5371418766580274
