run_id,n_neighbors,MN_ratio,FP_ratio,distance,n_components,seed,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
pacmap_angular_nn30_mn2p0_fp4p0_seed256_2d,30,2.0,4.0,angular,2,256,0.894811528570404,0.4410705206186704,0.6011468461730242,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp4p0_seed256_2d.csv
pacmap_angular_nn30_mn2p0_fp4p0_seed7_3d,30,2.0,4.0,angular,3,7,0.910063155849572,0.5412648972504129,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp4p0_seed7_3d.csv
pacmap_angular_nn30_mn2p0_fp4p0_seed42_3d,30,2.0,4.0,angular,3,42,0.9107556578617326,0.5069830997147591,0.6535028671154326,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp4p0_seed42_3d.csv
pacmap_angular_nn30_mn2p0_fp4p0_seed99_3d,30,2.0,4.0,angular,3,99,0.9045078090046892,0.5288522369174216,0.6468212415856396,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp4p0_seed99_3d.csv
pacmap_angular_nn30_mn2p0_fp4p0_seed123_3d,30,2.0,4.0,angular,3,123,0.9060051752657361,0.5301473674603525,0.6459735726751434,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp4p0_seed123_3d.csv
pacmap_angular_nn30_mn2p0_fp4p0_seed256_3d,30,2.0,4.0,angular,3,256,0.9096878181651903,0.5312858162949149,0.6595861381201694,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_angular_nn30_mn2p0_fp4p0_seed256_3d.csv
pacmap_manhattan_nn30_mn2p0_fp4p0_seed7_2d,30,2.0,4.0,manhattan,2,7,0.887416567908571,0.4600942486098588,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_manhattan_nn30_mn2p0_fp4p0_seed7_2d.csv
pacmap_manhattan_nn30_mn2p0_fp4p0_seed42_2d,30,2.0,4.0,manhattan,2,42,0.8945360684297785,0.4747013755178378,0.5922213911742709,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_manhattan_nn30_mn2p0_fp4p0_seed42_2d.csv
pacmap_manhattan_nn30_mn2p0_fp4p0_seed99_2d,30,2.0,4.0,manhattan,2,99,0.8817486311425923,0.4715536012374338,0.5982049364248316,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_manhattan_nn30_mn2p0_fp4p0_seed99_2d.csv
pacmap_manhattan_nn30_mn2p0_fp4p0_seed123_2d,30,2.0,4.0,manhattan,2,123,0.8884414132065284,0.45879449092547736,0.6046871104462728,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/pacmap_manhattan_nn30_mn2p0_fp4p0_seed123_2d.csv
