run_id,hidden_dims,lr,lambda_breed,lambda_clade,n_components,seed,target_metric,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed256_2d,"(512, 64)",0.001,10.0,1.0,2,256,euclidean,0.8734539377442626,0.6678962023459778,0.5543754674644727,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed256_2d.csv
phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed789_2d,"(512, 64)",0.001,10.0,1.0,2,789,euclidean,0.8642785991491435,0.6792405824960253,0.5325355272999253,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed789_2d.csv
phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed1337_2d,"(512, 64)",0.001,10.0,1.0,2,1337,euclidean,0.858732890942602,0.648742351292205,0.5484417850909997,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed1337_2d.csv
phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed42_3d,"(512, 64)",0.001,10.0,1.0,3,42,euclidean,0.8992694746980051,0.7312463221489071,1.0,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed42_3d.csv
phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed123_3d,"(512, 64)",0.001,10.0,1.0,3,123,euclidean,0.9012324934436389,0.7226320203513553,0.599401645474944,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed123_3d.csv
phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed256_3d,"(512, 64)",0.001,10.0,1.0,3,256,euclidean,0.9031295216692907,0.7381148840462659,0.618499127399651,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed256_3d.csv
phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed789_3d,"(512, 64)",0.001,10.0,1.0,3,789,euclidean,0.9013563157936679,0.742564832939713,0.5983046621790078,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed789_3d.csv
phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed1337_3d,"(512, 64)",0.001,10.0,1.0,3,1337,euclidean,0.8884405783638374,0.7320350870507502,0.6053851907255049,results/embeddings/phyloae_h512x64_lr0p001_lb10p0_lc1p0_seed1337_3d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed42_2d,"(512, 64)",0.0003,0.1,0.1,2,42,euclidean,0.8885463377538254,0.6936673137275691,1.0,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed42_2d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed123_2d,"(512, 64)",0.0003,0.1,0.1,2,123,euclidean,0.8884530630568068,0.7051978102145253,0.5533782099227126,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed123_2d.csv
phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed256_2d,"(512, 64)",0.0003,0.1,0.1,2,256,euclidean,0.8901591020432016,0.6885239547431712,0.5743206182996758,results/embeddings/phyloae_h512x64_lr0p0003_lb0p1_lc0p1_seed256_2d.csv
