run_id,perplexity,metric,n_components,seed,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
tsne_correlation_perp10_seed7_2d,10,correlation,2,7,0.9281317700524471,0.8136240116515476,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed7_2d.csv
tsne_correlation_perp10_seed42_2d,10,correlation,2,42,0.9257498500129211,0.8159929447766558,0.9329344303166294,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed42_2d.csv
tsne_correlation_perp10_seed99_2d,10,correlation,2,99,0.9265660984803207,0.8170493781728421,0.9379705809025181,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed99_2d.csv
tsne_correlation_perp10_seed123_2d,10,correlation,2,123,0.9250817102283788,0.8149213732951683,0.9244577412116679,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed123_2d.csv
tsne_correlation_perp10_seed256_2d,10,correlation,2,256,0.9276626264075163,0.8139208287034625,0.9236100723011716,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed256_2d.csv
tsne_correlation_perp10_seed7_3d,10,correlation,3,7,0.928214191794483,0.7656952609125003,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed7_3d.csv
tsne_correlation_perp10_seed42_3d,10,correlation,3,42,0.928871820150598,0.7636884730648047,0.8965843929194717,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed42_3d.csv
tsne_correlation_perp10_seed99_3d,10,correlation,3,99,0.9317739230813892,0.7630881424610808,0.8913986537023187,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed99_3d.csv
tsne_correlation_perp10_seed123_3d,10,correlation,3,123,0.9289868387049769,0.7625939953557196,0.8929942657691349,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed123_3d.csv
tsne_correlation_perp10_seed256_3d,10,correlation,3,256,0.9306761428901571,0.7631175473877387,0.8943405634505112,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed256_3d.csv
tsne_manhattan_perp10_seed7_2d,10,manhattan,2,7,0.9285664195152827,0.8425459047425702,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed7_2d.csv
tsne_manhattan_perp10_seed42_2d,10,manhattan,2,42,0.9299149181455715,0.8400370044374691,0.8646222887060584,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed42_2d.csv
tsne_manhattan_perp10_seed99_2d,10,manhattan,2,99,0.9317558601213481,0.8406301328118949,0.855946148092745,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed99_2d.csv
tsne_manhattan_perp10_seed123_2d,10,manhattan,2,123,0.930045153605363,0.8409881395739455,0.8493642483171279,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed123_2d.csv
tsne_manhattan_perp10_seed256_2d,10,manhattan,2,256,0.9290064195608196,0.8421436056952428,0.8610321615557218,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed256_2d.csv
tsne_manhattan_perp10_seed7_3d,10,manhattan,3,7,0.9340791134881359,0.7852596654978728,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed7_3d.csv
tsne_manhattan_perp10_seed42_3d,10,manhattan,3,42,0.9307289277166635,0.783646830480144,0.8074794315632011,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed42_3d.csv
tsne_manhattan_perp10_seed99_3d,10,manhattan,3,99,0.933475749906934,0.7819405087036205,0.8107703814510098,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed99_3d.csv
tsne_manhattan_perp10_seed123_3d,10,manhattan,3,123,0.9325708563247113,0.7828697103151139,0.8131637995512342,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed123_3d.csv
tsne_manhattan_perp10_seed256_3d,10,manhattan,3,256,0.9371623393354728,0.7849327959532358,0.8258289703315882,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed256_3d.csv
tsne_euclidean_perp15_seed7_2d,15,euclidean,2,7,0.9092367374803005,0.8161894605146367,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp15_seed7_2d.csv
