row_type	K	component	cv_error	delta_cv	pct_improvement	delta2_cv	mean_q_max	median_q_max	qmax_p10	qmax_p25	qmax_p75	qmax_p90	mean_h_norm	median_h_norm	mean_k_eff	median_k_eff	adjacent_mean_parent_corr	adjacent_dominant_nmi	adjacent_dominant_preserved_frac	k_cv_min	k_elbow	k_broad_default	k_fine_default	component_mass_mean_q	component_n_q_ge_0_5	component_n_q_ge_0_2	component_rank_within_k	component_embedding_separability	k_rank	is_broad_or_fine_default	embedding_nmi_max
component	9	9.0																						0.0997273620044876	101.0	191.0	3.0	0.9845528455284553	27	0	-1.0
k_summary	10		0.66473	0.0019399999999999	0.2909985450072662	-0.00175	0.6101168444278234	0.538759	0.3699498	0.452805	0.755689	0.9929214	0.5188511376525679	0.6163011682685079	2.72518575454839	2.8549815250125414	0.8382837975694868	0.8157349376689892	0.9050873196659074	30.0	10.0	8.0	15.0						28	0	-1.0
component	10	1.0																						0.3933428189977562	508.0	1012.0	1.0	0.721306240890279	28	0	-1.0
component	10	2.0																						0.0804128227374719	42.0	112.0	5.0	0.9196888888888889	28	0	-1.0
component	10	3.0																						0.0359892887060583	10.0	55.0	9.0	0.913233014535989	28	0	-1.0
component	10	4.0																						0.080824	96.0	125.0	4.0	0.9849079143852663	28	0	-1.0
component	10	5.0																						0.030907694091249	20.0	24.0	10.0	0.9924098398432999	28	0	-1.0
component	10	6.0																						0.0796613567688855	30.0	71.0	6.0	0.7601103972491178	28	0	-1.0
component	10	7.0																						0.0858193268511593	41.0	114.0	3.0	0.7732676571537155	28	0	-1.0
component	10	8.0																						0.0450761353777112	25.0	61.0	8.0	0.9169938107869141	28	0	-1.0
component	10	9.0																						0.1048403275991024	43.0	97.0	2.0	0.9794407745905348	28	0	-1.0
component	10	10.0																						0.0631262064323111	40.0	57.0	7.0	0.9683843183843184	28	0	-1.0
k_summary	11		0.66127	0.00346	0.520512087614523	0.00152	0.6465405138369484	0.612515	0.4368392	0.501098	0.750443	0.9998844	0.4768391794550228	0.5358255039459899	2.4154177798070835	2.3745643349100716	0.980645696599002	0.9660381030692364	0.9909570459683495	30.0	10.0	8.0	15.0						22	0	-1.0
component	11	1.0																						0.0418365774121166	20.0	50.0	8.0	0.9255890655605483	22	0	-1.0
component	11	2.0																						0.0338492423335826	10.0	48.0	9.0		22	0	-1.0
component	11	3.0																						0.0330671249065071	30.0	40.0	10.0	0.973981457108596	22	0	-1.0
component	11	4.0																						0.0315549566192969	20.0	24.0	11.0	0.9924098398432999	22	0	-1.0
component	11	5.0																						0.0797847060583395	41.0	112.0	3.0	0.9325083665338646	22	0	-1.0
component	11	6.0																						0.0628701712789828	60.0	98.0	4.0	0.9723569138837883	22	0	-1.0
component	11	7.0																						0.0519191578160059	27.0	61.0	6.0	0.9170468611847922	22	0	-1.0
component	11	8.0																						0.0955570314136125	32.0	72.0	2.0	0.9097861597861598	22	0	-1.0
component	11	9.0																						0.0511473575168287	33.0	48.0	7.0	0.8635387585387585	22	0	-1.0
component	11	10.0																						0.0582196641735228	40.0	55.0	5.0	0.9683843183843184	22	0	-1.0
component	11	11.0																						0.4601940254300673	695.0	1077.0	1.0	0.7344172206996991	22	0	-1.0
