run_id,n_inliers,n_outliers,distance,weight_temp,n_components,seed,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
trimap_angular_in50_out8_seed99_2d,50,8,angular,0.5,2,99,0.7060556453011448,-0.20050586119929853,0.2519571179257043,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_angular_in50_out8_seed99_2d.csv
trimap_angular_in50_out8_seed123_2d,50,8,angular,0.5,2,123,0.7023132352544961,-0.19886968586113823,0.25634505110944905,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_angular_in50_out8_seed123_2d.csv
trimap_angular_in50_out8_seed256_2d,50,8,angular,0.5,2,256,0.7088954765566686,-0.1865158660035793,0.25654450261780104,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_angular_in50_out8_seed256_2d.csv
trimap_angular_in50_out8_seed7_3d,50,8,angular,0.5,3,7,0.7562684732662499,-0.05236736903351732,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_angular_in50_out8_seed7_3d.csv
trimap_angular_in50_out8_seed42_3d,50,8,angular,0.5,3,42,0.7521847264011792,-0.06596140346836228,0.35582149090002496,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_angular_in50_out8_seed42_3d.csv
trimap_angular_in50_out8_seed99_3d,50,8,angular,0.5,3,99,0.749629955977227,-0.06034310118274843,0.3678384442782349,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_angular_in50_out8_seed99_3d.csv
trimap_angular_in50_out8_seed123_3d,50,8,angular,0.5,3,123,0.753345119794234,-0.0597013218657419,0.35577162802293694,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_angular_in50_out8_seed123_3d.csv
trimap_angular_in50_out8_seed256_3d,50,8,angular,0.5,3,256,0.754159091417931,-0.05495874387986059,0.3667913238593867,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_angular_in50_out8_seed256_3d.csv
trimap_manhattan_in50_out8_seed7_2d_wt0p1,50,8,manhattan,0.1,2,7,0.6808798255330566,-0.2172814775071819,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed7_2d_wt0p1.csv
trimap_manhattan_in50_out8_seed42_2d_wt0p1,50,8,manhattan,0.1,2,42,0.6829457955614451,-0.22882056044698032,0.350037397157816,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed42_2d_wt0p1.csv
trimap_manhattan_in50_out8_seed99_2d_wt0p1,50,8,manhattan,0.1,2,99,0.6797964274045463,-0.21776148595960387,0.35128396908501625,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed99_2d_wt0p1.csv
trimap_manhattan_in50_out8_seed123_2d_wt0p1,50,8,manhattan,0.1,2,123,0.6820107717475572,-0.20722753877634242,0.3440039890301671,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed123_2d_wt0p1.csv
trimap_manhattan_in50_out8_seed256_2d_wt0p1,50,8,manhattan,0.1,2,256,0.6771805996219681,-0.22312947781573056,0.35158314634754423,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed256_2d_wt0p1.csv
trimap_manhattan_in50_out8_seed7_3d_wt0p1,50,8,manhattan,0.1,3,7,0.7256367288282946,-0.07786993060685522,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed7_3d_wt0p1.csv
trimap_manhattan_in50_out8_seed42_3d_wt0p1,50,8,manhattan,0.1,3,42,0.7289329534040141,-0.08914851886845121,0.4497631513338319,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed42_3d_wt0p1.csv
trimap_manhattan_in50_out8_seed99_3d_wt0p1,50,8,manhattan,0.1,3,99,0.7289119684945548,-0.08147100043140511,0.44702069309399156,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed99_3d_wt0p1.csv
trimap_manhattan_in50_out8_seed123_3d_wt0p1,50,8,manhattan,0.1,3,123,0.7240434315525759,-0.08879004066884545,0.4458738469209673,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed123_3d_wt0p1.csv
trimap_manhattan_in50_out8_seed256_3d_wt0p1,50,8,manhattan,0.1,3,256,0.7267499536093096,-0.08124347901662923,0.443679880329095,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed256_3d_wt0p1.csv
trimap_manhattan_in50_out8_seed7_2d_wt0p25,50,8,manhattan,0.25,2,7,0.6801081652548339,-0.21638463773108743,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed7_2d_wt0p25.csv
trimap_manhattan_in50_out8_seed42_2d_wt0p25,50,8,manhattan,0.25,2,42,0.679277117303367,-0.21490982970018252,0.34001495886312644,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed42_2d_wt0p25.csv
trimap_manhattan_in50_out8_seed99_2d_wt0p25,50,8,manhattan,0.25,2,99,0.6812782352336251,-0.22550967990559276,0.3474943904263276,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed99_2d_wt0p25.csv
trimap_manhattan_in50_out8_seed123_2d_wt0p25,50,8,manhattan,0.25,2,123,0.681706281849723,-0.20708271733976308,0.3501869857890801,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed123_2d_wt0p25.csv
trimap_manhattan_in50_out8_seed256_2d_wt0p25,50,8,manhattan,0.25,2,256,0.6813457436494086,-0.2068390510548488,0.33996509598603836,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed256_2d_wt0p25.csv
trimap_manhattan_in50_out8_seed7_3d_wt0p25,50,8,manhattan,0.25,3,7,0.7318662111461366,-0.07938958200429112,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed7_3d_wt0p25.csv
trimap_manhattan_in50_out8_seed42_3d_wt0p25,50,8,manhattan,0.25,3,42,0.7298691156397532,-0.08170984080171255,0.4359511343804537,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed42_3d_wt0p25.csv
trimap_manhattan_in50_out8_seed99_3d_wt0p25,50,8,manhattan,0.25,3,99,0.7262806581747987,-0.0829876212585854,0.43290949887808533,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed99_3d_wt0p25.csv
trimap_manhattan_in50_out8_seed123_3d_wt0p25,50,8,manhattan,0.25,3,123,0.7327655264612878,-0.07686145929869882,0.44308152580403887,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed123_3d_wt0p25.csv
trimap_manhattan_in50_out8_seed256_3d_wt0p25,50,8,manhattan,0.25,3,256,0.7270396819704716,-0.08470741733775687,0.437845923709798,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed256_3d_wt0p25.csv
trimap_manhattan_in50_out8_seed7_2d,50,8,manhattan,0.5,2,7,0.6829240517040847,-0.21770890954509942,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed7_2d.csv
trimap_manhattan_in50_out8_seed42_2d,50,8,manhattan,0.5,2,42,0.6773202839831256,-0.22957212897137672,0.31423585140862625,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed42_2d.csv
trimap_manhattan_in50_out8_seed99_2d,50,8,manhattan,0.5,2,99,0.6837187460510992,-0.21569385520518242,0.31104462727499377,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed99_2d.csv
trimap_manhattan_in50_out8_seed123_2d,50,8,manhattan,0.5,2,123,0.6832541560935738,-0.20919679614223935,0.29693343305908754,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed123_2d.csv
trimap_manhattan_in50_out8_seed256_2d,50,8,manhattan,0.5,2,256,0.6786158839447228,-0.2215090993471732,0.3193218648716031,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed256_2d.csv
trimap_manhattan_in50_out8_seed7_3d,50,8,manhattan,0.5,3,7,0.737287110370378,-0.07449566468433874,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed7_3d.csv
trimap_manhattan_in50_out8_seed42_3d,50,8,manhattan,0.5,3,42,0.7341276482063974,-0.07600231238928808,0.4155572176514584,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed42_3d.csv
trimap_manhattan_in50_out8_seed99_3d,50,8,manhattan,0.5,3,99,0.7436273231869588,-0.05925790116325563,0.41695337820992273,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed99_3d.csv
trimap_manhattan_in50_out8_seed123_3d,50,8,manhattan,0.5,3,123,0.737859508877224,-0.07136354429498033,0.418399401645475,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed123_3d.csv
trimap_manhattan_in50_out8_seed256_3d,50,8,manhattan,0.5,3,256,0.7386944274629852,-0.06644580473868178,0.43201196709050105,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_manhattan_in50_out8_seed256_3d.csv
trimap_euclidean_in50_out15_seed7_2d_wt0p1,50,15,euclidean,0.1,2,7,0.7039190551705792,-0.14144605635831597,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_euclidean_in50_out15_seed7_2d_wt0p1.csv
trimap_euclidean_in50_out15_seed42_2d_wt0p1,50,15,euclidean,0.1,2,42,0.7069121939020813,-0.1500912422136435,0.42592869608576417,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_euclidean_in50_out15_seed42_2d_wt0p1.csv
trimap_euclidean_in50_out15_seed99_2d_wt0p1,50,15,euclidean,0.1,2,99,0.7042491216126732,-0.16190400205614786,0.4452754923959112,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_euclidean_in50_out15_seed99_2d_wt0p1.csv
trimap_euclidean_in50_out15_seed123_2d_wt0p1,50,15,euclidean,0.1,2,123,0.7058960385575892,-0.14533366268000125,0.44687110446272754,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_euclidean_in50_out15_seed123_2d_wt0p1.csv
trimap_euclidean_in50_out15_seed256_2d_wt0p1,50,15,euclidean,0.1,2,256,0.7071697428722459,-0.1440161768342426,0.4367988032909499,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_euclidean_in50_out15_seed256_2d_wt0p1.csv
trimap_euclidean_in50_out15_seed7_3d_wt0p1,50,15,euclidean,0.1,3,7,0.7563622792267991,0.006513763055960608,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/trimap_euclidean_in50_out15_seed7_3d_wt0p1.csv
